Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -89.0000, AzErrorDeg, -30.4949
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -88.0000, AzErrorDeg, -14.9707
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -87.0000, AzErrorDeg, -10.0847
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -86.0000, AzErrorDeg,  -7.6686
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -85.0000, AzErrorDeg,  -6.2242
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -84.0000, AzErrorDeg,  -5.2624
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -83.0000, AzErrorDeg,  -4.5754
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -82.0000, AzErrorDeg,  -4.0598
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -81.0000, AzErrorDeg,  -3.6583
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -80.0000, AzErrorDeg,  -3.3366
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -79.0000, AzErrorDeg,  -3.0730
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -78.0000, AzErrorDeg,  -2.8528
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -77.0000, AzErrorDeg,  -2.6661
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -76.0000, AzErrorDeg,  -2.5057
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -75.0000, AzErrorDeg,  -2.3662
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -74.0000, AzErrorDeg,  -2.2439
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -73.0000, AzErrorDeg,  -2.1355
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -72.0000, AzErrorDeg,  -2.0389
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -71.0000, AzErrorDeg,  -1.9522
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -70.0000, AzErrorDeg,  -1.8738
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -69.0000, AzErrorDeg,  -1.8026
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -68.0000, AzErrorDeg,  -1.7376
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -67.0000, AzErrorDeg,  -1.6779
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -66.0000, AzErrorDeg,  -1.6230
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -65.0000, AzErrorDeg,  -1.5722
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -64.0000, AzErrorDeg,  -1.5251
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -63.0000, AzErrorDeg,  -1.4813
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -62.0000, AzErrorDeg,  -1.4403
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -61.0000, AzErrorDeg,  -1.4020
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -60.0000, AzErrorDeg,  -1.3660
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -59.0000, AzErrorDeg,  -1.3321
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -58.0000, AzErrorDeg,  -1.3001
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -57.0000, AzErrorDeg,  -1.2699
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -56.0000, AzErrorDeg,  -1.2412
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -55.0000, AzErrorDeg,  -1.2140
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -54.0000, AzErrorDeg,  -1.1882
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -53.0000, AzErrorDeg,  -1.1635
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -52.0000, AzErrorDeg,  -1.1399
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -51.0000, AzErrorDeg,  -1.1174
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -50.0000, AzErrorDeg,  -1.0958
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -49.0000, AzErrorDeg,  -1.0751
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -48.0000, AzErrorDeg,  -1.0553
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -47.0000, AzErrorDeg,  -1.0361
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -46.0000, AzErrorDeg,  -1.0177
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -45.0000, AzErrorDeg,  -1.0000
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -44.0000, AzErrorDeg,  -0.9828
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -43.0000, AzErrorDeg,  -0.9662
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -42.0000, AzErrorDeg,  -0.9502
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -41.0000, AzErrorDeg,  -0.9346
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -40.0000, AzErrorDeg,  -0.9195
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -39.0000, AzErrorDeg,  -0.9049
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -38.0000, AzErrorDeg,  -0.8906
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -37.0000, AzErrorDeg,  -0.8767
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -36.0000, AzErrorDeg,  -0.8632
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -35.0000, AzErrorDeg,  -0.8501
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -34.0000, AzErrorDeg,  -0.8372
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -33.0000, AzErrorDeg,  -0.8247
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -32.0000, AzErrorDeg,  -0.8124
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -31.0000, AzErrorDeg,  -0.8004
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -30.0000, AzErrorDeg,  -0.7886
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -29.0000, AzErrorDeg,  -0.7771
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -28.0000, AzErrorDeg,  -0.7658
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -27.0000, AzErrorDeg,  -0.7547
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -26.0000, AzErrorDeg,  -0.7438
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -25.0000, AzErrorDeg,  -0.7331
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -24.0000, AzErrorDeg,  -0.7226
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -23.0000, AzErrorDeg,  -0.7122
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -22.0000, AzErrorDeg,  -0.7020
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -21.0000, AzErrorDeg,  -0.6919
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -20.0000, AzErrorDeg,  -0.6820
