Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -89.0000, AzErrorDeg,  43.9843
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -88.0000, AzErrorDeg,  19.7023
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -87.0000, AzErrorDeg,  12.6350
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -86.0000, AzErrorDeg,   9.1873
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -85.0000, AzErrorDeg,   7.1380
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -84.0000, AzErrorDeg,   5.7785
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -83.0000, AzErrorDeg,   4.8104
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -82.0000, AzErrorDeg,   4.0860
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -81.0000, AzErrorDeg,   3.5236
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -80.0000, AzErrorDeg,   3.0744
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -79.0000, AzErrorDeg,   2.7074
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -78.0000, AzErrorDeg,   2.4021
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -77.0000, AzErrorDeg,   2.1442
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -76.0000, AzErrorDeg,   1.9234
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -75.0000, AzErrorDeg,   1.7324
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -74.0000, AzErrorDeg,   1.5656
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -73.0000, AzErrorDeg,   1.4187
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -72.0000, AzErrorDeg,   1.2883
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -71.0000, AzErrorDeg,   1.1720
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -70.0000, AzErrorDeg,   1.0674
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -69.0000, AzErrorDeg,   0.9731
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -68.0000, AzErrorDeg,   0.8876
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -67.0000, AzErrorDeg,   0.8097
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -66.0000, AzErrorDeg,   0.7384
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -65.0000, AzErrorDeg,   0.6731
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -64.0000, AzErrorDeg,   0.6130
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -63.0000, AzErrorDeg,   0.5575
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -62.0000, AzErrorDeg,   0.5061
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -61.0000, AzErrorDeg,   0.4585
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -60.0000, AzErrorDeg,   0.4141
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -59.0000, AzErrorDeg,   0.3729
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -58.0000, AzErrorDeg,   0.3343
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -57.0000, AzErrorDeg,   0.2982
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -56.0000, AzErrorDeg,   0.2645
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -55.0000, AzErrorDeg,   0.2328
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -54.0000, AzErrorDeg,   0.2030
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -53.0000, AzErrorDeg,   0.1749
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -52.0000, AzErrorDeg,   0.1485
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -51.0000, AzErrorDeg,   0.1236
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -50.0000, AzErrorDeg,   0.1000
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -49.0000, AzErrorDeg,   0.0778
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -48.0000, AzErrorDeg,   0.0567
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -47.0000, AzErrorDeg,   0.0368
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -46.0000, AzErrorDeg,   0.0179
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -45.0000, AzErrorDeg,   0.0000
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -44.0000, AzErrorDeg,  -0.0170
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -43.0000, AzErrorDeg,  -0.0331
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -42.0000, AzErrorDeg,  -0.0485
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -41.0000, AzErrorDeg,  -0.0631
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -40.0000, AzErrorDeg,  -0.0769
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -39.0000, AzErrorDeg,  -0.0901
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -38.0000, AzErrorDeg,  -0.1026
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -37.0000, AzErrorDeg,  -0.1146
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -36.0000, AzErrorDeg,  -0.1259
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -35.0000, AzErrorDeg,  -0.1367
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -34.0000, AzErrorDeg,  -0.1470
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -33.0000, AzErrorDeg,  -0.1568
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -32.0000, AzErrorDeg,  -0.1661
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -31.0000, AzErrorDeg,  -0.1750
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -30.0000, AzErrorDeg,  -0.1834
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -29.0000, AzErrorDeg,  -0.1915
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -28.0000, AzErrorDeg,  -0.1991
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -27.0000, AzErrorDeg,  -0.2063
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -26.0000, AzErrorDeg,  -0.2132
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -25.0000, AzErrorDeg,  -0.2197
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -24.0000, AzErrorDeg,  -0.2259
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -23.0000, AzErrorDeg,  -0.2318
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -22.0000, AzErrorDeg,  -0.2373
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -21.0000, AzErrorDeg,  -0.2425
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -20.0000, AzErrorDeg,  -0.2474
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -19.0000, AzErrorDeg,  -0.2521
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -18.0000, AzErrorDeg,  -0.2564
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -17.0000, AzErrorDeg,  -0.2605
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -16.0000, AzErrorDeg,  -0.2643
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -15.0000, AzErrorDeg,  -0.2679
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -14.0000, AzErrorDeg,  -0.2712
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -13.0000, AzErrorDeg,  -0.2742
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -12.0000, AzErrorDeg,  -0.2770
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -11.0000, AzErrorDeg,  -0.2796
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg, -10.0000, AzErrorDeg,  -0.2819
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  -9.0000, AzErrorDeg,  -0.2840
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  -8.0000, AzErrorDeg,  -0.2859
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  -7.0000, AzErrorDeg,  -0.2875
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  -6.0000, AzErrorDeg,  -0.2889
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  -5.0000, AzErrorDeg,  -0.2901
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  -4.0000, AzErrorDeg,  -0.2911
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  -3.0000, AzErrorDeg,  -0.2918
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  -2.0000, AzErrorDeg,  -0.2924
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  -1.0000, AzErrorDeg,  -0.2927
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,   0.0000, AzErrorDeg,  -0.2928
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,   1.0000, AzErrorDeg,  -0.2927
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,   2.0000, AzErrorDeg,  -0.2924
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,   3.0000, AzErrorDeg,  -0.2918
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,   4.0000, AzErrorDeg,  -0.2911
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,   5.0000, AzErrorDeg,  -0.2901
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,   6.0000, AzErrorDeg,  -0.2889
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,   7.0000, AzErrorDeg,  -0.2875
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,   8.0000, AzErrorDeg,  -0.2859
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,   9.0000, AzErrorDeg,  -0.2840
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  10.0000, AzErrorDeg,  -0.2819
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  11.0000, AzErrorDeg,  -0.2796
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  12.0000, AzErrorDeg,  -0.2770
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  13.0000, AzErrorDeg,  -0.2742
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  14.0000, AzErrorDeg,  -0.2712
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  15.0000, AzErrorDeg,  -0.2679
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  16.0000, AzErrorDeg,  -0.2643
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  17.0000, AzErrorDeg,  -0.2605
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  18.0000, AzErrorDeg,  -0.2564
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  19.0000, AzErrorDeg,  -0.2521
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  20.0000, AzErrorDeg,  -0.2474
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  21.0000, AzErrorDeg,  -0.2425
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  22.0000, AzErrorDeg,  -0.2373
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  23.0000, AzErrorDeg,  -0.2318
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  24.0000, AzErrorDeg,  -0.2259
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  25.0000, AzErrorDeg,  -0.2197
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  26.0000, AzErrorDeg,  -0.2132
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  27.0000, AzErrorDeg,  -0.2063
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  28.0000, AzErrorDeg,  -0.1991
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  29.0000, AzErrorDeg,  -0.1915
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  30.0000, AzErrorDeg,  -0.1834
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  31.0000, AzErrorDeg,  -0.1750
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  32.0000, AzErrorDeg,  -0.1661
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  33.0000, AzErrorDeg,  -0.1568
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  34.0000, AzErrorDeg,  -0.1470
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  35.0000, AzErrorDeg,  -0.1367
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  36.0000, AzErrorDeg,  -0.1259
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  37.0000, AzErrorDeg,  -0.1146
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  38.0000, AzErrorDeg,  -0.1026
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  39.0000, AzErrorDeg,  -0.0901
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  40.0000, AzErrorDeg,  -0.0769
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  41.0000, AzErrorDeg,  -0.0631
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  42.0000, AzErrorDeg,  -0.0485
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  43.0000, AzErrorDeg,  -0.0331
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  44.0000, AzErrorDeg,  -0.0170
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  45.0000, AzErrorDeg,   0.0000
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  46.0000, AzErrorDeg,   0.0179
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  47.0000, AzErrorDeg,   0.0368
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  48.0000, AzErrorDeg,   0.0567
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  49.0000, AzErrorDeg,   0.0778
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  50.0000, AzErrorDeg,   0.1000
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  51.0000, AzErrorDeg,   0.1236
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  52.0000, AzErrorDeg,   0.1485
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  53.0000, AzErrorDeg,   0.1749
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  54.0000, AzErrorDeg,   0.2030
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  55.0000, AzErrorDeg,   0.2328
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  56.0000, AzErrorDeg,   0.2645
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  57.0000, AzErrorDeg,   0.2982
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  58.0000, AzErrorDeg,   0.3343
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  59.0000, AzErrorDeg,   0.3729
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  60.0000, AzErrorDeg,   0.4141
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  61.0000, AzErrorDeg,   0.4585
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  62.0000, AzErrorDeg,   0.5061
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  63.0000, AzErrorDeg,   0.5575
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  64.0000, AzErrorDeg,   0.6130
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  65.0000, AzErrorDeg,   0.6731
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  66.0000, AzErrorDeg,   0.7384
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  67.0000, AzErrorDeg,   0.8097
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  68.0000, AzErrorDeg,   0.8876
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  69.0000, AzErrorDeg,   0.9731
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  70.0000, AzErrorDeg,   1.0674
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  71.0000, AzErrorDeg,   1.1720
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  72.0000, AzErrorDeg,   1.2883
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  73.0000, AzErrorDeg,   1.4187
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  74.0000, AzErrorDeg,   1.5656
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  75.0000, AzErrorDeg,   1.7324
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  76.0000, AzErrorDeg,   1.9234
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  77.0000, AzErrorDeg,   2.1442
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  78.0000, AzErrorDeg,   2.4021
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  79.0000, AzErrorDeg,   2.7074
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  80.0000, AzErrorDeg,   3.0744
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  81.0000, AzErrorDeg,   3.5236
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  82.0000, AzErrorDeg,   4.0860
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  83.0000, AzErrorDeg,   4.8104
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  84.0000, AzErrorDeg,   5.7785
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  85.0000, AzErrorDeg,   7.1380
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  86.0000, AzErrorDeg,   9.1873
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  87.0000, AzErrorDeg,  12.6350
Z1Deg,   0.0000, Z2Deg,  -0.7070, AltDeg,  88.0000, AzErrorDeg,  19.7023
