16 25 35 -23 26 50 Rho Ophiuchus
16 28 48 -08 07 44 Struve 2048
16 30 54 +01 59 02 Lambda Ophiuchus
16 55 37 -05 09 56 Struve 3106
16 57 54 -27 36 39 h 4902
16 58 50 +03 58 01 Struve 3107
17 01 59 +08 27 02 Struve 2114
17 06 29 -13 56 06 Struve 2119
17 06 52 -01 39 23 Struve 2122
17 10 48 -24 57 00 h 589
17 12 45 -04 03 12 Struve 2132
17 19 53 -17 45 23 BU 126
17 20 54 -27 20 40 BU 127
17 20 48 -09 02 15 Aitken 28
17 21 01 -21 06 46 DON 832
17 23 57 -00 50 05 Struve 2156
17 27 52 +11 23 26 Struve 2166
17 28 43 +10 29 05 Struve 2170
17 29 16 -09 59 25 Struve 2171
17 32 02 +02 49 26 Otto Struve 331
17 35 50 +00 59 47 Struve 2186
17 36 14 +06 37 17 Struve 2188
17 39 47 -04 58 04 Struve 2191
17 46 26 +05 42 01 Struve 2212
17 46 39 -01 12 51 Struve 2211
17 48 57 +04 57 47 Struve 2223
17 52 05 +01 06 40 S 694
17 52 59 -02 15 27 Struve 2235
17 59 01 +02 02 17 Struve 2252
18 03 04 -08 10 50 Tau Ophiuchus
18 05 43 +12 00 13 Struve 2276
18 31 26 +06 27 39 Struve 2329
18 37 15 +07 31 43 Struve 2346
