15 53 49 -25 19 38 2
16 03 05 -25 00 51 Beta 38
16 04 35 -11 22 23 Xi
16 04 38 -11 27 00 Struve 1999
16 07 48 -12 44 44 11
16 12 29 -28 25 03 12
16 13 58 -24 25 19 B 307
16 14 57 -39 07 52 Lambda 268
16 19 46 -30 54 24 55G (Brs 12)
16 20 47 -39 25 51 I 91
16 23 59 -41 14 50 h 4845
16 24 11 -33 11 58 h 4848
16 24 53 -29 42 17 h 4850
16 29 37 -26 25 56 Alpha (Antares)
16 33 14 -33 31 57 I 95
16 38 41 -43 23 55 h 4867
16 44 30 -27 27 22 Beta 1116
16 49 46 -43 56 41 I 99
16 49 46 -31 39 05 I 993
16 51 14 -37 30 53 h 4889
16 55 22 -31 13 22 I 557
16 57 14 -38 26 24 Lambda 313
17 14 08 -38 17 43 Hwe 86
17 14 42 -39 46 01 h 4926
17 16 32 -42 20 20 I 408
17 24 41 -30 31 42 Hld 28
17 30 20 -33 42 59 Hwe 39
17 31 34 -39 01 06 Hwe 87
17 31 57 -41 02 23 Hld 136
17 33 30 -45 30 41 I 603
17 51 26 -30 33 26 Stn 37
17 56 06 -39 55 59 Co 222
17 58 11 -36 00 28 R 306
