04 42 54 +36 07 00 PK166- 6.1PLNNB
04 46 06 +31 23 00 Pal 2 GLOCL13.0
04 51 06 +43 42 00 NGC 1664 OPNCL07.6
04 55 12 +30 35 00 B 26-8 DRKNB
04 55 42 +30 33 00 vdB 31 BRTNB
04 57 00 +28 47 00 Czernik 19OPNCL
05 01 06 +43 48 00 Berk 14 OPNCL
05 03 12 +44 27 01 Berk 15 OPNCL
05 03 30 +49 30 00 NGC 1724 OPNCL
05 04 36 +34 50 00 Do 15 OPNCL
05 06 12 +31 44 00 B 29 DRKNB
05 06 36 +39 08 00 PK167- 0.1PLNNB16.6
05 08 06 +37 03 01 NGC 1778 OPNCL07.7
05 08 06 +30 48 01 PK173- 5.1PLNNB12.0
05 08 30 +39 05 00 King 17 OPNCL
05 11 18 +52 04 00 NGC 1790 NONEX
05 11 36 +47 40 00 NGC 1798 OPNCL
05 14 36 +32 43 00 Do 16 OPNCL
05 16 12 +34 16 00 IC 405 BRTNB
05 17 12 +42 12 01 Sh2-223 SNREM
05 17 42 +53 33 00 UGC 3273 GALXY14.3
05 18 12 +37 36 00 IC 2120 PLNNB12.0
05 20 06 +39 28 00 Czernik 20OPNCL
05 20 12 +39 21 00 NGC 1857 OPNCL 7
05 20 36 +30 36 00 Berk 17 OPNCL14.0
05 22 12 +45 24 00 Berk 18 OPNCL14.0
05 22 30 +41 00 00 Cr 62 OPNCL04.2
05 22 36 +33 31 00 IC 410 BRTNB
05 22 42 +33 24 00 NGC 1893 OPNCL07.5
05 22 54 +45 28 00 King 22 OPNCL
05 24 06 +29 36 01 Berk 19 OPNCL11.4
05 24 06 +33 18 01 Do 18 OPNCL
05 24 54 +32 39 00 Berk 69 OPNCL
05 25 42 +41 54 00 Berk 70 OPNCL
05 25 54 +46 33 00 NGC 1883 OPNCL12.0
05 26 48 +36 00 00 Czernik 21OPNCL
05 27 18 +42 59 00 Sh2-224 SNREM
05 27 36 +34 25 00 Stock 8 OPNCL
05 28 00 +35 19 00 NGC 1907 OPNCL08.2
05 28 06 +34 26 00 IC 417 BRTNB
05 28 36 +33 47 00 Do 20 OPNCL
05 28 42 +35 50 01 NGC 1912 OPNCL06.4
05 29 00 +36 02 01 PK172+ 0.1PLNNB
05 31 24 +34 15 00 NGC 1931 CL+NB10.1
05 36 06 +34 08 00 NGC 1960 OPNCL 6
05 37 42 +31 59 00 NGC 1985 PLNNB12.5
05 39 00 +37 56 00 Stock 10 OPNCL
05 39 24 +35 56 00 Sh2-231 BRTNB
05 41 06 +35 52 00 Sh2-235 BRTNB
05 41 48 +32 23 00 Berk 71 OPNCL
05 42 00 +49 40 00 3C 147 QUASR15.0
05 43 30 +32 39 00 B 34 DRKNB
05 44 24 +55 48 00 NGC 2013 NONEX
05 48 30 +30 13 00 Basel 4 OPNCL09.1
05 49 24 +33 38 01 King 8 OPNCL11.2
05 50 24 +28 56 00 Czernik 23OPNCL
05 52 24 +32 33 00 NGC 2099 OPNCL05.6
05 56 18 +46 07 01 IC 2149 PLNNB10.0
06 02 36 +36 08 00 PK173+ 3.1PLNNB
06 03 00 +49 54 00 NGC 2126 OPNCL10.2
06 04 06 +30 15 00 Sh2-241 BRTNB
06 11 06 +51 41 00 NGC 2165 NONEX
06 15 12 +39 51 00 NGC 2192 OPNCL10.9
06 22 30 +51 55 00 NGC 2208 GALXY12.8
06 30 30 +39 29 00 UGC 3475 GALXY14.2
06 32 54 +35 12 00 NGC 2240 NONEX
06 34 00 +44 46 00 NGC 2242 PLNNB14.5
06 49 18 +41 04 01 NGC 2281 OPNCL05.4
06 56 12 +45 30 00 NGC 2303 GALXY12.6
07 29 00 +36 52 00 NGC 2387 GALXY15.5
