00 07 36 +64 58 00 PK118+ 2.1PLNNB12.9
03 16 18 +60 02 00 Stock 23 OPNCL
03 17 06 +58 36 00 Czernik 14OPNCL
03 28 06 +56 27 00 King 6 OPNCL
03 29 12 +59 57 00 vdB 14 BRTNB
03 30 06 +58 54 00 vdB 15 BRTNB
03 39 24 +66 32 00 Berk 10 OPNCL12.0
03 45 12 +76 38 01 IC 334 GALXY12.3
03 46 48 +68 06 00 IC 342 GALXY12.0
03 47 48 +59 03 00 Tombaugh 5OPNCL08.4
03 48 24 +70 08 00 UGC 2855 GALXY12.9
03 53 12 +62 07 01 Czernik 17OPNCL
03 56 06 +53 12 01 Sh2-205 BRTNB
04 00 30 +68 34 00 NGC 1469 GALXY12.7
04 05 06 +71 00 00 NGC 1485 GALXY12.6
04 07 00 +60 55 00 NGC 1501 PLNNB12.0
04 07 42 +62 20 00 NGC 1502 OPNCL06.9
04 07 48 +69 49 00 IC 356 GALXY10.5
04 13 18 +56 57 00 PK147+ 4.1PLNNB13.7
04 19 00 +58 18 00 IC 361 OPNCL11.7
04 19 00 +55 03 00 B 8,9,11,1DRKNB
04 19 42 +53 16 00 Mayer 2 OPNCL
04 19 48 +53 06 00 PK151+ 2.1BRTNB
04 23 30 +75 18 00 NGC 1530 GALXY11.4
04 25 48 +60 07 00 PK146+ 7.1PLNNB15.8
04 30 00 +54 17 00 B 12 DRKNB
04 30 54 +64 50 00 NGC 1569 GALXY11.0
04 32 48 +71 52 00 NGC 1560 GALXY11.4
04 35 00 +73 15 00 NGC 1573 GALXY11.7
04 44 24 +75 39 00 NGC 1530A GALXY12.3
04 46 18 +76 26 01 UGC 3137 GALXY14.2
04 47 48 +74 55 00 UGC 3144 GALXY14.4
04 48 24 +73 28 00 NGC 1573A GALXY14.5
04 56 24 +52 45 00 Berk 13 OPNCL
04 57 24 +78 11 00 IC 391 GALXY12.7
04 58 00 +68 19 00 IC 396 GALXY12.0
05 02 36 +52 53 00 NGC 1708 NONEX
05 22 00 +73 00 01 Cr 464 OPNCL04.2
05 42 12 +69 23 00 NGC 1961 GALXY11.0
06 04 42 +57 39 00 NGC 2128 GALXY12.6
06 18 24 +78 33 00 NGC 2146A GALXY12.9
06 18 42 +78 21 01 NGC 2146 GALXY10.6
06 42 24 +66 20 01 NGC 2253 OPNCL
06 47 13 +74 13 01 NGC 2256 GALXY12.5
06 47 48 +74 29 00 NGC 2258 GALXY11.9
06 55 30 +69 35 00 UGC 3580 GALXY11.8
07 10 30 +75 20 01 NGC 2314 GALXY12.2
07 11 24 +71 50 00 UGC 3697 GALXY12.9
07 14 01 +84 22 00 NGC 2268 GALXY11.5
07 14 18 +73 29 00 UGC 3730 GALXY12.5
07 15 30 +64 53 01 IC 2179 GALXY12.4
07 16 06 +64 43 00 NGC 2347 GALXY12.4
07 24 30 +61 42 00 UGC 3826 GALXY13.5
07 27 06 +80 11 01 NGC 2336 GALXY10.4
07 28 42 +69 04 00 NGC 2363 NONEX
07 28 54 +69 13 00 NGC 2366 GALXY11.1
07 30 00 +79 52 01 IC 467 GALXY12.6
07 36 48 +65 37 00 NGC 2403 GALXY08.5
07 37 06 +65 42 00 NGC 2404 NONEX
07 40 30 +71 40 00 NGC 2408 OPNCL
07 41 42 +64 42 00 MCG +11-10GALXY12.0
07 44 48 +72 48 00 UGC 3975 GALXY13.6
07 47 30 +60 56 00 UGC 4013 GALXY12.6
07 51 54 +73 01 00 NGC 2441 GALXY12.2
07 56 12 +60 18 00 IC 2209 GALXY13.7
07 56 12 +78 00 00 NGC 2336A GALXY14.0
07 56 54 +60 21 00 NGC 2460 GALXY11.8
08 04 12 +74 03 00 NGC 2523A GALXY13.8
08 06 42 +80 07 00 UGC 4173 GALXY14.8
08 11 30 +76 26 01 UGC 4238 GALXY12.7
08 13 00 +73 34 00 NGC 2523B GALXY13.9
08 15 06 +73 34 00 NGC 2523 GALXY11.9
08 17 42 +73 18 00 NGC 2523C GALXY12.9
08 21 42 +73 59 00 NGC 2544 GALXY12.9
08 24 36 +74 01 00 NGC 2550 GALXY12.8
08 24 48 +73 25 00 NGC 2551 GALXY12.1
08 27 48 +73 31 00 UGC 4390 GALXY14.2
08 28 36 +73 45 00 NGC 2550A GALXY12.7
08 37 24 +78 02 00 NGC 2591 GALXY12.3
08 48 00 +73 32 00 IC 2389 GALXY13.4
08 48 06 +74 06 00 NGC 2633 GALXY12.2
08 48 24 +73 58 00 NGC 2634 GALXY12.0
08 48 24 +73 40 00 NGC 2636 GALXY13.8
08 48 36 +73 56 00 NGC 2634A GALXY13.6
08 50 24 +73 28 00 NGC 2646 GALXY12.1
08 53 12 +76 30 00 MCG +13-07GALXY12.0
08 53 42 +73 29 00 IC 520 GALXY11.7
08 55 36 +78 13 01 NGC 2655 GALXY10.1
08 55 36 +78 25 01 NGC 2653 ASTER
09 03 54 +85 30 00 IC 512 GALXY12.2
09 08 06 +78 05 01 NGC 2715 GALXY11.2
09 13 24 +79 12 00 NGC 2732 GALXY11.9
09 13 42 +76 29 00 NGC 2748 GALXY11.7
09 14 48 +74 14 00 UGC 4841 GALXY12.4
09 15 42 +76 23 00 NGC 2760 NONEX
09 18 30 +73 46 00 IC 529 GALXY11.9
11 43 00 +77 24 00 NGC 3901 GALXY13.7
12 08 24 +76 49 00 NGC 4127 GALXY12.6
12 32 54 +82 33 00 IC 3568 PLNNB11.6
13 38 36 +79 27 00 NGC 5295 GALXY14.9
14 20 48 +80 06 00 NGC 5640 GALXY15.4
