00 01 36 +70 43 00 PK118+ 8.2PLNNB16.7
00 02 36 +67 23 00 Berk 59 OPNCL11.0
00 03 36 +68 36 00 NGC 7822 BRTNB
00 04 42 +67 10 00 Ced 214 BRTNB
00 12 36 +69 11 00 PK119+ 6.1PLNNB18.3
00 13 00 +72 32 00 NGC 40 PLNNB10.7
00 44 24 +85 20 00 NGC 188 OPNCL08.1
03 16 42 +80 49 01 NGC 1184 GALXY12.4
03 20 24 +80 15 00 UGC 2620 GALXY14.2
03 33 12 +79 35 00 Pal 1 GLOCL13.6
05 02 35 +86 13 01 NGC 1544 GALXY13.2
06 55 54 +84 55 01 UGC 3522 GALXY14.2
07 27 19 +85 45 01 NGC 2276 GALXY11.4
07 32 24 +85 43 01 NGC 2300 GALXY11.0
20 24 00 +60 12 00 UGC 11557 GALXY13.2
20 31 24 +60 37 59 NGC 6939 OPNCL07.8
20 34 48 +60 09 00 NGC 6946 GALXY08.8
20 35 06 +64 48 00 NGC 6949 GALXY13.5
20 37 12 +66 06 00 NGC 6951 GALXY10.6
20 37 36 +66 26 00 NGC 6952 NONEX
20 37 54 +65 45 00 NGC 6953 NONEX
20 49 06 +59 32 00 B148-9 DRKNB
20 50 36 +60 18 00 B150 DRKNB
20 56 30 +57 26 00 PK 95+ 7.1PLNNB16.5
21 00 24 +68 10 00 Cr 427 OPNCL13.8
21 00 30 +68 10 00 NGC 7023 CL+NB07.1
21 11 48 +59 57 00 Sh2-129 BRTNB
21 14 30 +61 45 00 B152 DRKNB
21 17 30 +58 36 00 vdB 140 BRTNB
21 19 24 +57 35 00 NGC 7055 NONEX
21 25 30 +57 30 00 Berk 92 OPNCL
21 25 48 +62 48 00 NGC 7076 BRTNB
21 26 24 +62 53 00 PK101- 8.1PLNNB13.2
21 27 30 +57 39 00 PK 98+ 4.1PLNNB15.0
21 32 12 +55 53 00 PK 97+ 3.1PLNNB15.2
21 34 54 +56 43 00 B365 DRKNB
21 37 06 +57 29 00 vdB 142 BRTNB
21 37 06 +68 12 00 vdB 143 BRTNB
21 38 00 +56 14 00 B160 DRKNB
21 39 00 +57 30 00 Tr 37 OPNCL05.1
21 39 06 +57 30 00 IC 1396 CL+NB03.5
21 39 12 +55 46 00 PK 98+ 2.1PLNNB15.9
21 40 18 +57 49 00 B161 DRKNB
21 41 06 +56 19 00 B162 DRKNB
21 41 18 +66 06 00 NGC 7129 CL+NB11.5
21 42 12 +56 42 00 B163 DRKNB
21 42 36 +66 03 00 NGC 7133 BRTNB
21 44 24 +57 12 00 B367 DRKNB
21 45 54 +65 48 00 NGC 7142 OPNCL09.3
21 45 54 +63 39 00 NGC 7139 PLNNB13.5
21 53 42 +62 36 00 NGC 7160 OPNCL06.1
21 57 06 +63 56 00 Berk 93 OPNCL
21 58 54 +58 45 00 B169-71 DRKNB
22 07 00 +72 00 00 Cr 471 OPNCL
22 07 24 +59 10 00 B173-4 DRKNB
22 10 30 +55 25 00 NGC 7226 OPNCL09.6
22 11 36 +58 45 00 Ced 199 BRTNB
22 12 06 +56 58 00 NGC 7234 NONEX
22 12 36 +57 17 00 NGC 7235 OPNCL07.7
22 12 54 +73 20 00 vdB 150 OPNCL
22 13 36 +70 18 00 vdB 152 BRTNB
22 13 36 +70 15 00 vdB 152 OPNCL
22 16 06 +57 29 00 PK103+ 0.1PLNNB
22 18 42 +56 08 00 Sh2-132 BRTNB
22 20 18 +58 14 00 PK104+ 0.1PLNNB17.0
22 20 24 +58 05 00 NGC 7261 OPNCL08.4
22 20 30 +57 36 00 PK103+ 0.2PLNNB15.0
22 22 42 +55 51 00 Berk 94 OPNCL08.7
22 24 42 +57 50 00 NGC 7281 OPNCL
22 28 42 +59 07 00 Berk 95 OPNCL
22 39 30 +59 01 00 Berk 97 OPNCL
22 39 42 +57 24 00 NGC 7352 NONEX
22 40 24 +61 17 00 NGC 7354 PLNNB12.9
22 40 24 +59 53 00 Czernik 42OPNCL
22 42 36 +80 27 00 IC 1454 PLNNB14.8
22 47 00 +58 06 00 NGC 7380 OPNCL07.2
22 49 54 +82 54 00 UGC 12221 GALXY14.0
22 52 54 +58 17 00 King 18 OPNCL
22 54 18 +60 50 00 NGC 7419 OPNCL13.0
22 54 54 +59 10 00 King 10 OPNCL
22 55 18 +57 08 00 NGC 7423 OPNCL
22 55 54 +59 59 00 NGC 7429 OPNCL
22 56 06 +57 08 00 Berk 57 OPNCL
22 56 18 +57 09 00 PK107- 2.1PLNNB14.2
22 56 48 +62 37 00 Sh2-155 BRTNB
23 05 12 +60 15 00 IC 1470 BRTNB
23 08 18 +60 31 00 King 19 OPNCL09.2
23 11 30 +60 34 00 NGC 7510 OPNCL07.9
23 14 12 +61 29 00 NGC 7538 BRTNB
23 15 18 +60 28 00 Mrk 50 OPNCL08.5
23 21 54 +71 46 00 Berk 99 OPNCL
23 27 00 +63 45 00 Berk 100 OPNCL
23 31 54 +70 23 00 PK116+ 8.1PLNNB12.2
23 34 00 +64 13 00 Berk 101 OPNCL
23 34 18 +72 55 00 NGC 7708 NONEX
23 35 30 +64 53 00 PK114+ 3.1PLNNB
23 45 00 +69 45 00 NGC 7748 NONEX
23 48 30 +68 38 00 King 11 OPNCL
23 49 48 +68 02 00 NGC 7762 OPNCL10.0
23 55 06 +76 37 00 vdB 150 BRTNB
23 56 36 +70 49 00 PK118+ 8.1PLNNB
