00 02 00 -15 27 00 MCG -03-01GALXY10.6
00 03 30 -10 45 00 NGC 7808 GALXY13.5
00 04 12 -11 59 00 NGC 7813 GALXY15.0
00 05 12 -20 44 00 NGC 7826 NONEX
00 05 18 -16 29 00 NGC 7821 GALXY
00 06 24 -13 25 00 NGC 7828 GALXY13.9
00 06 24 -13 25 00 NGC 7829 GALXY13.9
00 09 06 -12 08 00 NGC 17 NONEX
00 11 06 -12 06 00 NGC 34 GALXY
00 11 12 -12 00 00 NGC 35 GALXY14.0
00 14 00 -23 11 00 NGC 45 GALXY10.6
00 14 30 -07 11 00 NGC 47 GALXY
00 14 42 -07 21 00 NGC 50 GALXY
00 15 06 -07 08 00 NGC 54 GALXY
00 15 30 -21 27 00 NGC 59 GALXY12.4
00 15 42 -07 11 00 NGC 58 NONEX
00 17 06 -13 28 00 NGC 62 GALXY
00 17 30 -06 51 00 NGC 64 GALXY
00 18 48 -15 21 00 NGC 73 GALXY
00 19 06 -22 54 00 NGC 65 GALXY15.0
00 19 12 -22 57 00 NGC 66 GALXY13.4
00 19 12 -22 42 00 NGC 77 GALXY15.0
00 24 24 -13 57 00 NGC 102 GALXY14.0
00 25 42 -08 17 00 NGC 107 GALXY
00 26 42 -02 38 00 NGC 111 NONEX
00 27 00 -02 30 00 NGC 113 GALXY
00 27 06 -01 47 00 NGC 114 GALXY13.7
00 27 12 +01 19 01 NGC 117 GALXY14.3
00 27 12 -07 41 59 NGC 116 GALXY14.5
00 27 18 -01 46 59 NGC 118 GALXY14.0
00 27 30 -01 31 00 NGC 120 GALXY13.4
00 27 42 -01 38 00 NGC 122 NONEX
00 27 48 -01 36 00 NGC 123 NONEX
00 28 00 -01 49 00 NGC 124 GALXY13.0
00 30 12 +02 05 00 NGC 132 GALXY12.6
00 31 12 -22 37 00 NGC 142 GALXY13.8
00 31 18 -22 34 00 NGC 143 GALXY14.4
00 31 24 -22 39 00 NGC 144 GALXY13.7
00 31 48 -05 10 00 NGC 145 GALXY12.7
00 33 18 -13 22 00 NGC 135 GALXY
00 34 06 -12 39 00 NGC 154 GALXY14.0
00 34 12 -09 42 00 NGC 151 GALXY11.6
00 34 18 -09 43 00 NGC 153 NONEX
00 34 36 -08 21 00 NGC 156 2STAR
00 34 42 -10 46 00 NGC 155 GALXY
00 34 48 -08 24 00 NGC 157 GALXY10.4
00 34 48 -08 19 00 NGC 158 2STAR
00 35 30 -23 22 00 NGC 167 GALXY13.6
00 35 30 -02 50 00 NGC 161 GALXY
00 35 48 -13 37 00 NGC 166 GALXY15.0
00 36 06 -10 08 00 NGC 163 GALXY12.7
00 36 30 -10 08 00 NGC 165 GALXY13.1
00 36 42 -22 36 00 NGC 168 GALXY13.8
00 36 42 +01 51 00 NGC 170 GALXY14.4
00 36 48 -18 30 00 NGC 171 NONEX
00 37 12 +01 56 00 NGC 173 GALXY13.0
00 37 12 -22 36 00 NGC 172 GALXY13.4
00 37 24 -19 56 00 NGC 175 GALXY12.2
00 37 30 -22 34 00 NGC 177 GALXY13.2
00 37 48 -17 53 00 NGC 179 GALXY13.3
00 39 00 -09 01 00 NGC 191 GALXY
00 39 06 -14 11 00 NGC 178 GALXY12.6
00 39 06 -18 38 00 NGC 209 GALXY12.9
00 39 18 +00 51 00 NGC 192 GALXY12.6
00 39 18 +00 54 00 NGC 196 GALXY14.0
00 39 24 +00 53 00 NGC 197 GALXY14.1
00 39 36 -14 41 00 NGC 187 GALXY
00 39 42 +00 51 00 NGC 201 GALXY12.9
00 39 42 -09 12 00 NGC 195 GALXY
00 40 00 -15 10 00 NGC 207 NONEX
00 40 30 -13 53 00 NGC 210 GALXY10.9
00 41 24 -21 03 00 NGC 216 GALXY13.2
00 41 24 -01 43 00 UGC 439 GALXY13.2
00 41 36 -10 02 00 NGC 217 GALXY
00 42 18 +00 54 01 NGC 219 GALXY14.3
00 42 24 -23 37 59 NGC 230 GALXY14.7
00 42 42 -01 32 00 NGC 227 GALXY12.1
00 42 42 +00 51 00 NGC 223 GALXY13.2
00 42 42 -23 34 00 NGC 232 GALXY13.5
00 42 48 -23 33 00 NGC 235 GALXY13.2
00 43 30 -00 08 00 NGC 237 GALXY13.0
00 44 36 -03 46 00 NGC 239 GALXY
00 45 48 -15 35 00 NGC 244 GALXY
00 46 06 -01 44 00 NGC 245 GALXY12.2
00 47 00 -20 45 00 NGC 247 GALXY09.1
00 47 06 -11 53 00 NGC 246 PLNNB08.5
00 47 48 -11 29 00 NGC 255 GALXY11.9
00 48 06 -02 47 00 NGC 259 GALXY
00 48 54 -13 06 00 NGC 263 GALXY14.0
00 50 12 -05 12 00 NGC 268 GALXY13.1
00 50 42 -08 39 00 NGC 270 GALXY
00 50 48 -01 53 00 NGC 271 GALXY12.0
00 50 54 -06 54 00 NGC 273 GALXY12.9
00 51 06 -07 04 00 NGC 274 GALXY11.8
00 51 06 -07 04 00 NGC 275 GALXY12.5
00 51 30 -08 35 00 NGC 277 GALXY
00 52 06 -22 41 00 NGC 276 GALXY14.9
00 52 18 -02 12 00 NGC 279 GALXY12.7
00 53 18 -13 10 59 NGC 283 GALXY
00 53 36 -13 09 00 NGC 284 GALXY15.0
00 53 36 -13 06 00 NGC 286 GALXY
00 53 36 -08 45 00 NGC 291 GALXY
00 53 42 -13 10 00 NGC 285 GALXY
00 54 18 -07 14 00 NGC 293 GALXY
00 54 48 -16 40 00 NGC 303 GALXY
00 55 00 -07 21 00 NGC 298 GALXY
00 55 06 -07 21 00 NGC 297 2STAR
00 56 00 -10 39 00 NGC 302 1STAR
00 56 24 -01 47 00 NGC 308 GALXY14.0
00 56 24 -10 40 00 NGC 301 NONEX
00 56 30 -09 57 00 NGC 309 GALXY11.9
00 56 36 -01 46 00 NGC 307 GALXY12.8
00 56 54 -01 46 00 NGC 310 1STAR
00 57 00 -09 57 00 NGC 309A GALXY
00 57 06 -02 46 00 NGC 331 GALXY15.5
00 57 36 -05 00 00 NGC 321 GALXY
00 57 54 -05 08 00 NGC 325 GALXY16.0
00 58 00 -05 08 00 NGC 327 GALXY13.4
00 58 06 -05 04 00 NGC 329 GALXY13.3
00 58 48 -18 46 00 NGC 336 GALXY12.0
00 58 48 -18 47 00 MCG -03-03GALXY12.5
00 58 48 -20 50 00 NGC 320 GALXY13.5
00 58 48 -16 29 00 NGC 333B GALXY14.0
00 58 48 -16 29 00 NGC 333A GALXY16.0
00 59 06 -18 16 00 NGC 335 GALXY14.3
00 59 48 -07 35 00 NGC 337 GALXY11.6
01 00 36 -06 53 00 NGC 340 GALXY14.0
01 00 48 -09 11 00 NGC 341A GALXY13.0
01 00 48 -06 47 00 NGC 342 GALXY14.5
01 00 48 -23 14 00 NGC 343 1STAR
01 00 54 -09 11 00 NGC 341B GALXY15.0
01 01 24 -06 54 00 NGC 345 GALXY13.5
01 01 24 -06 49 00 NGC 347 GALXY14.5
01 01 36 -23 14 00 NGC 344 GALXY
01 01 48 -07 36 00 NGC 337A GALXY12.2
01 01 54 -06 49 00 NGC 349 GALXY13.5
01 02 00 -06 49 00 NGC 350 GALXY15.0
01 02 06 -01 55 00 NGC 351 GALXY13.2
01 02 12 -04 15 00 NGC 352 GALXY12.6
01 02 36 -01 56 00 NGC 353 GALXY13.6
01 03 12 -06 20 00 NGC 355 GALXY15.0
01 03 18 -07 00 00 NGC 356 GALXY13.5
01 03 24 -06 21 00 NGC 357 GALXY12.0
01 04 24 -01 01 00 NGC 359 GALXY13.3
01 04 36 -01 07 00 NGC 364 GALXY13.1
01 04 48 +02 07 00 IC 1613 GALXY09.2
01 05 00 -17 47 00 NGC 369 GALXY13.8
01 05 06 -06 13 00 New 1 GALXY11.8
01 05 48 -12 07 00 NGC 367 GALXY
01 06 06 -16 34 00 NGC 363 GALXY15.0
01 06 18 -20 03 00 NGC 377 3STAR
01 07 30 +00 56 00 NGC 391 GALXY13.4
01 08 42 +01 39 00 UGC 711 GALXY14.0
01 10 18 -20 01 00 NGC 412 NONEX
01 11 06 -18 10 00 NGC 417 GALXY14.1
01 11 48 -00 39 00 IC 1639 GALXY13.6
01 12 36 -02 47 00 NGC 413 GALXY16.0
01 12 54 -00 17 00 NGC 426 GALXY12.9
01 13 00 +00 59 00 NGC 428 GALXY11.5
01 13 00 -00 20 00 NGC 429 GALXY13.4
01 13 06 -00 15 00 NGC 430 GALXY12.5
