15 22 06 +27 39 00 Abell 2065GALCL14.0
16 12 30 +29 32 00 Abell 2162GALCL13.7
15 21 54 +31 14 00 NGC 5924 GALXY14.5
15 34 42 +28 40 00 NGC 5958 GALXY12.6
15 35 12 +30 51 00 NGC 5961 GALXY14.1
15 39 00 +31 45 00 NGC 5974 GALXY14.2
15 47 42 +28 38 00 NGC 6001 GALXY14.5
15 47 48 +28 37 00 NGC 6002 NONEX
15 55 54 +26 59 00 NGC 6016 GALXY14.3
16 02 36 +37 21 00 NGC 6038 GALXY13.5
16 07 42 +38 55 00 NGC 6069 GALXY15.5
16 11 06 +26 52 00 NGC 6076 GALXY15.5
16 11 06 +26 56 00 NGC 6077 GALXY13.3
16 12 30 +29 22 00 NGC 6085 GALXY13.0
16 12 30 +29 22 00 NGC 6086 GALXY12.8
16 12 42 +33 02 00 NGC 6089 GALXY15.0
16 12 42 +27 58 00 NGC 6092 GALXY13.2
16 14 42 +26 34 00 NGC 6096 GALXY14.2
16 14 18 +35 06 00 NGC 6097 GALXY15.0
16 15 36 +28 09 00 NGC 6102 GALXY13.8
16 15 42 +31 57 00 NGC 6103 GALXY13.8
16 16 30 +35 42 00 NGC 6104 GALXY13.2
16 17 00 +34 51 59 NGC 6105 GALXY14.3
16 17 12 +34 53 00 NGC 6107 GALXY13.8
16 17 18 +35 07 00 NGC 6108 GALXY14.3
16 17 30 +35 00 00 NGC 6109 GALXY12.7
16 17 36 +35 05 00 NGC 6110 GALXY15.5
16 17 54 +35 06 00 NGC 6112 GALXY13.9
16 18 18 +35 10 00 NGC 6114 GALXY14.2
16 18 48 +35 09 00 NGC 6116 GALXY14.3
16 19 18 +37 05 00 NGC 6117A GALXY14.5
16 19 24 +37 05 00 NGC 6117B GALXY15.0
16 19 42 +37 48 00 NGC 6119 GALXY15.5
16 19 48 +37 46 00 NGC 6120 GALXY13.8
16 20 12 +37 48 00 NGC 6122 GALXY15.0
16 21 24 +36 23 00 NGC 6126 GALXY13.6
16 21 48 +37 59 00 NGC 6129 GALXY14.5
16 22 00 +38 55 59 NGC 6131A GALXY14.0
16 22 00 +38 53 59 NGC 6131B GALXY15.0
16 23 06 +37 56 00 NGC 6137A GALXY14.0
16 23 06 +37 59 00 NGC 6137B GALXY15.0
16 23 24 +37 16 00 NGC 6142 GALXY13.8
