08 16 40 -79 13 26 CCDM 8167-7913
08 22 48 -76 25 51 HD 71972
09 01 57 -76 53 40 HD 78509
09 19 25 -77 38 36 HD 81485
09 25 29 -75 49 43 HD 82260
09 28 15 -78 15 22 HD 82859
09 43 05 -81 19 44 PPM 788806
09 44 47 -75 53 57 HD 85127
09 44 57 -80 30 32 HD 85499
09 54 29 -80 25 17 HD 86838
10 04 07 -76 04 17 HD 87954
10 18 01 -75 48 28 HD 89807
10 28 22 -78 48 36 HD 91327
10 31 52 -81 55 16 HR 4161
10 45 04 -81 34 13 PPM 377258
10 49 52 -82 17 00 SAO 258595
11 17 10 -76 53 11 HD 98374
11 37 16 -83 04 13 HD 101270
11 57 16 -80 29 41 HD 103875
12 01 20 -82 33 22 HD 104433
12 08 48 -76 29 07 HD 105473
12 27 30 -76 39 55 HD 108297
13 08 29 -82 43 16 HD 113478
13 13 54 -77 27 33 HD 114503
13 30 01 -76 34 24 HD 116891
13 33 14 -77 34 10 S Cha
13 40 29 -76 22 09 CP -75 00886
13 41 46 -80 34 34 HIP 66817
13 48 14 -77 39 13 HD 119560
