15 53 37 -25 19 39 2 Sco
15 59 59 -20 24 58 HD 143244
16 01 52 -28 22 26 HIP 78523
16 02 52 -25 00 52 HD 143715
16 04 22 -11 22 23 Grafias
16 05 26 -19 48 20 Graffias
16 05 26 -20 29 36 HD 144219
16 06 58 -27 43 10 HD 144432
16 07 36 -12 44 43 11 Sco
16 08 04 -27 38 26 PPM 732575
16 08 35 -39 05 34 HR 6000
16 09 32 -32 38 56 SAO 207397
16 09 41 -27 53 41 HD 144985
16 09 46 -28 07 13 CD -27 10818
16 09 52 -31 36 15 HD 145010
16 10 11 -40 07 44 HD 144965
16 11 51 -27 33 11 HD 145408
16 12 00 -19 27 39 Jabbah
16 12 16 -28 25 02 12 Sco
16 12 27 -13 59 22 HD 145608
16 13 46 -24 25 20 HR 6042
16 14 17 -10 24 52 HD 145996
16 14 43 -38 38 44 HD 145839
16 14 43 -39 07 51 HD 145840
16 17 27 -34 49 09 HD 146368
16 17 51 -12 26 49 HD 146661
16 19 33 -30 54 25 HR 6077
16 19 33 -29 56 56 HD 146852
16 20 05 -20 03 23 HD 147010
16 20 13 -18 24 45 ADS 10002
16 20 30 -20 07 04 SAO 159864
16 20 33 -39 25 49 HR 6080
16 21 11 -25 35 34 Alniyat
16 21 09 -29 58 03 HD 147138
16 22 19 -22 38 15 HD 147356
16 22 55 -31 04 27 HD 147386
16 23 45 -41 14 50 HD 147435
16 23 57 -33 11 58 HD 147553
16 24 40 -29 42 17 HR 6106
16 24 56 -37 54 54 HD 147704
16 26 02 -31 14 10 HIP 80504
16 26 09 -34 59 01 HD 147938
16 26 56 -35 50 04 HD 148042
16 28 51 -30 16 55 HD 148396
16 29 24 -26 25 56 Antares
16 30 46 -28 20 12 HD 148671
16 31 30 -39 00 44 HD 148704
16 31 42 -41 49 02 HR 6142
16 33 00 -33 31 57 HD 148950
16 34 40 -28 21 52 HD 149254
16 34 53 -26 11 29 HD 149289
16 38 24 -25 13 36 HD 149867
16 38 26 -43 23 54 HR 6174
16 39 05 -37 13 03 HR 6178
16 39 31 -34 12 22 HD 149982
16 40 12 -27 59 51 HIP 81619
16 40 23 -39 55 24 HD 150070
16 40 32 -34 18 12 HD 150150
16 42 00 -43 24 25 HD 325957
16 42 41 -42 53 06 HD 150399
16 43 54 -41 06 48 HR 6209
16 44 17 -27 27 23 HR 6216
16 44 26 -42 23 35 HD 150674
16 44 36 -44 57 47 HD 328736
16 44 53 -39 12 26 HD 150771
16 47 48 -33 11 17 HD 151273
16 47 53 -40 58 23 HD 151211
16 48 11 -36 53 02 HD 151315
16 48 16 -28 44 54 HD 151394
16 50 48 -45 31 42 HD 151644
16 51 00 -37 30 52 HR 6244
16 51 40 -32 32 23 HD 151906
16 52 15 -36 01 32 HD 151983
16 52 16 -25 36 02 HD 152071
16 54 02 -41 48 23 HR 6260
16 54 07 -41 51 07 CCDM 16541-4151
16 54 10 -41 49 30 HD 152248
16 54 26 -41 49 56 HD 326331
16 54 50 -42 01 25 CD -41 11062
16 54 55 -41 03 57 HD 152385
16 55 09 -31 24 09 HD 152521
16 55 31 -45 19 58 HD 152438
16 56 09 -37 11 18 HD 152637
16 56 14 -31 31 09 HD 152700
16 56 55 -40 30 44 HD 152723
16 57 00 -38 26 00 HD 152767
16 58 07 -30 12 58 HD 153002
16 58 54 -39 33 31 HD 153026
16 59 44 -41 30 12 HD 153175
16 59 52 -37 33 46 HD 153246
17 01 18 -39 50 47 HD 153427
17 02 18 -31 09 20 CD -30 13721
17 02 27 -36 02 54 HD 153692
17 02 46 -42 15 01 HD 326647
17 02 54 -33 48 37 HD 153787
17 02 54 -36 51 41 HD 153766
17 04 37 -38 00 29 CCDM 17046-3800
17 05 22 -33 46 13 HD 154195
17 06 30 -32 44 05 CCDM 17065-3244
17 06 48 -35 53 15 HD 154407
17 07 21 -44 26 33 HD 154410
17 07 53 -41 56 56 HD 154537
17 09 24 -31 40 47 HD 154871
17 12 51 -32 18 19 CD -32 12457
17 12 47 -33 21 41 HD 155402
17 12 49 -37 27 49 HD 155364
17 13 03 -32 15 52 HD 155449
17 13 56 -37 48 27 HD 155535
17 13 54 -38 17 42 HD 155536
17 14 28 -39 46 00 V915 Sco
17 14 36 -45 28 05 HD 155570
17 15 45 -34 11 51 HD 155871
17 16 18 -42 20 21 HD 155896
17 16 25 -38 39 13 HD 155943
17 16 33 -40 30 11 HD 155944
17 18 57 -34 59 23 HR 6426
17 20 28 -33 05 19 HD 156686
17 20 49 -42 39 30 HD 156661
17 23 18 -39 46 06 HD 157128
17 24 16 -37 21 46 HD 157340
17 24 28 -30 31 44 HD 157417
17 25 09 -45 11 43 HD 157388
17 25 49 -33 52 05 CCDM 17258-3352
17 26 20 -38 52 58 HD 157660
17 28 22 -40 32 34 HD 157958
17 29 01 -43 58 27 HD 158042
17 29 28 -40 18 46 HD 158143
17 30 06 -33 42 59 HD 158320
17 30 15 -44 11 47 HD 158239
17 30 39 -43 03 42 HD 158323
17 31 01 -34 14 06 CCDM 17310-3414
17 31 20 -39 01 06 HD 158468
17 31 28 -41 55 41 HD 158470
17 31 36 -30 17 34 HD 315957
17 32 07 -44 19 19 HD 158547
17 32 18 -30 27 39 HD 158759
17 34 42 -32 34 54 HIP 86011
17 35 24 -31 49 01 HD 159310
17 36 41 -41 55 41 HD 159434
17 37 20 -40 19 12 HD 159574
17 37 19 -42 59 52 Sargas
17 37 30 -37 46 55 HD 159632
17 37 55 -41 39 51 HD 159668
17 38 33 -37 54 33 HD 159848
17 38 59 -35 59 29 HD 159953
17 39 31 -32 21 03 HD 160094
17 39 34 -42 46 19 HD 159984
17 40 20 -32 10 47 HD 160259
17 40 31 -32 45 17 HD 160281
17 40 27 -43 51 44 HD 160150
17 41 11 -41 41 30 HD 160323
17 42 32 -38 01 15 HD 160594
17 43 42 -32 56 01 HD 160854
17 43 43 -38 11 45 HIP 86762
17 44 58 -45 11 14 HD 160942
17 46 58 -43 29 36 HD 161312
17 47 58 -40 08 21 HD 161530
17 48 15 -36 43 50 HD 161629
17 48 18 -35 25 44 CCDM 17483-3526
17 48 37 -45 01 39 HD 161579
17 49 08 -36 31 24 HD 161791
17 49 29 -32 00 30 HD 161889
17 49 50 -36 23 00 HD 161910
17 49 57 -37 31 55 HD 161911
17 50 11 -40 05 26 Iota 2 Sco
17 50 52 -33 42 20 RY Sco
17 51 13 -30 33 25 HR 6645
17 51 18 -34 10 12 CCDM 17513-3410
17 51 55 -35 04 59 HD 162306
17 53 52 -32 28 41 HD 162722
17 53 57 -38 56 57 HD 162657
17 55 45 -30 34 18 HD 163106
17 56 51 -39 55 58 HD 163195
17 57 03 -40 07 16 HD 163233
17 57 57 -36 00 29 HD 163482
17 58 23 -40 09 04 HD 324755
17 58 28 -44 58 40 HD 163457
