02 31 27 +89 15 52 Polaris
09 21 54 +88 34 14 HD 66368
10 37 12 +86 03 28 SAO 1724
12 00 11 +86 59 40 HD 104147
12 28 28 +88 40 33 HD 111162
13 04 50 +73 01 30 HR 4950
13 06 27 +76 17 41 SAO 7748
13 10 10 +73 58 08 HD 114743
13 32 02 +71 43 01 SAO 7837
13 36 42 +69 46 36 HIP 66388
13 40 41 +76 50 38 HD 119702
13 55 02 +78 23 59 HD 122189
14 06 32 +70 57 37 HD 123803
14 06 35 +66 13 08 PPM 18868
14 17 44 +76 47 47 HIP 69852
14 17 49 +69 18 50 PPM 18947
14 19 55 +67 46 57 HD 126028
14 21 08 +67 48 10 HD 126228
14 26 32 +70 18 49 HD 127242
14 27 32 +75 41 46 5 UMi
14 28 32 +73 03 18 HD 127713
14 30 03 +82 17 04 SAO 2400
14 31 10 +76 33 55 HD 128421
14 32 18 +80 20 27 SAO 2405
14 32 13 +67 54 46 PPM 19059
14 33 17 +85 56 18 HD 131616
14 50 23 +67 50 35 PPM 19188
14 53 04 +78 10 36 HD 132698
14 53 35 +69 45 46 HD 132188
14 55 10 +81 06 45 SAO 2467
14 56 22 +85 02 36 SAO 2484
14 56 48 +70 49 59 HD 132844
14 56 48 +74 54 03 HD 133086
14 57 26 +85 29 25 SAO 2492
14 58 22 +71 08 27 HD 133141
15 09 17 +72 27 16 HD 135319
15 17 17 +71 12 40 HD 136727
15 19 53 +67 00 56 HD 137049
15 25 30 +67 03 11 SAO 16732
15 29 12 +80 26 55 HR 5829
15 29 24 +67 12 16 HD 138684
15 32 26 +81 03 10 SAO 2568
15 32 30 +76 46 25 HD 139797
15 47 36 +83 16 26 HD 144060
15 47 30 +73 56 52 SAO 8341
15 57 14 +76 28 44 SAO 8383
16 00 00 +76 15 23 PPM 9069
16 00 16 +73 56 08 HD 144652
16 04 49 +70 15 42 HD 145309
16 09 02 +72 33 32 SAO 8438
16 17 58 +80 40 24 SAO 2694
16 21 35 +76 20 03 BD +76 00605
16 26 20 +76 29 18 SAO 8524
16 40 56 +82 21 53 SAO 2757
16 41 10 +86 02 38 SAO 2777
16 43 06 +77 30 50 HR 6267
16 57 18 +86 50 42 HD 160010
16 58 44 +76 06 34 SAO 8679
17 39 14 +84 02 24 SAO 2936
18 05 54 +88 15 14 SAO 3084
21 31 09 +86 52 19 HD 207929
