11 31 42 -65 59 00 PK294- 4.1PLNNB
11 39 12 -68 52 00 PK296- 6.1PLNNB
11 50 24 -64 54 00 IC 2966 BRTNB
12 04 12 -67 18 00 NGC 4071 PLNNB
12 25 48 -72 40 00 NGC 4372 GLOCL07.8
12 30 00 -64 48 00 NGC 4463 OPNCL07.2
12 37 54 -68 28 00 Harvard 6OPNCL10.7
12 53 54 -65 21 00 vdB-Ha 140OPNCL
12 58 00 -64 57 00 NGC 4815 OPNCL08.6
12 59 36 -70 53 00 NGC 4833 GLOCL07.4
13 08 30 -67 38 00 IC 4191 PLNNB12.0
13 18 48 -67 12 00 Harvard 8OPNCL09.5
13 20 36 -64 57 00 Ru 107 OPNCL09.7
13 22 36 -66 07 00 Cr 269 OPNCL09.2
13 33 48 -66 00 00 NGC 5189 PLNNB10.3
13 39 30 -67 23 00 PK307- 4.1PLNNB12.9
13 45 24 -71 29 00 PK307- 9.1PLNNB
13 48 42 -66 05 00 Cr 277 OPNCL09.2
13 52 24 -66 23 00 PK309- 4.1PLNNB16.1
