07 57 48 +53 25 00 PK 164+31.1 PLNNB
08 01 54 +50 45 00 NGC 2500 GALXY
08 19 18 +50 00 00 NGC 2552 GALXY
08 43 36 +50 13 00 NGC 2639 GALXY
08 53 36 +51 18 00 NGC 2681 GALXY
08 57 00 +51 20 00 NGC 2693 GALXY
08 59 00 +53 46 00 NGC 2701 GALXY
08 55 36 +58 44 01 NGC 2685 GALXY
08 18 54 +57 48 00 NGC 2549 GALXY
07 56 54 +60 21 00 NGC 2460 GALXY
08 49 12 +60 12 01 NGC 2654 GALXY
07 51 54 +73 01 00 NGC 2441 GALXY
08 15 06 +73 34 00 NGC 2523 GALXY
08 24 48 +73 25 00 NGC 2551 GALXY
08 48 06 +74 06 00 NGC 2633 GALXY
08 50 24 +73 28 00 NGC 2646 GALXY
08 55 36 +78 13 01 NGC 2655 GALXY
09 48 48 +44 05 00 NGC 2998 GALXY
09 22 00 +50 59 00 NGC 2841 GALXY
09 42 36 +58 51 00 NGC 2950 GALXY
09 56 12 +59 18 00 NGC 3043 GALXY
09 07 36 +60 29 00 NGC 2742 GALXY
09 11 30 +60 03 00 NGC 2768 GALXY
09 19 18 +69 13 00 NGC 2787 GALXY
09 29 36 +62 30 01 NGC 2880 GALXY
09 55 36 +69 04 00 M81
09 55 59 +69 42 00 M82
09 47 18 +67 55 00 NGC 2976 GALXY
09 50 18 +72 17 00 NGC 2985 GALXY
09 13 42 +76 29 00 NGC 2748 GALXY
09 08 06 +78 05 01 NGC 2715 GALXY
09 13 24 +79 12 00 NGC 2732 GALXY
10 18 18 +41 25 00 NGC 3184 GALXY
10 19 54 +45 33 00 NGC 3198 GALXY
10 39 36 +47 24 00 NGC 3320 GALXY
10 39 12 +41 41 00 NGC 3319 GALXY
10 51 42 +43 43 00 NGC 3415 GALXY
10 59 30 +46 07 00 NGC 3478 GALXY
10 02 00 +55 41 00 NGC 3079 GALXY
10 21 48 +56 56 00 NGC 3206 GALXY
10 45 24 +55 58 00 NGC 3353 GALXY
10 54 36 +56 59 00 NGC 3445 GALXY
10 56 00 +57 07 00 NGC 3458 GALXY
10 54 42 +54 19 00 NGC 3448 GALXY
10 46 36 +63 13 00 NGC 3359 GALXY
10 32 36 +65 03 00 NGC 3259 GALXY
10 28 24 +68 25 00 IC 2574 GALXY
10 03 18 +68 44 01 NGC 3077 GALXY
10 01 54 +72 10 00 NGC 3065 GALXY
10 16 54 +73 24 00 NGC 3147 GALXY
10 47 12 +72 50 00 NGC 3348 GALXY
10 53 54 +73 41 00 NGC 3403 GALXY
10 44 42 +76 49 00 NGC 3329 GALXY
11 58 36 +43 58 00 NGC 4013 GALXY
11 52 48 +44 07 00 NGC 3938 GALXY
11 26 06 +43 35 00 NGC 3675 GALXY
11 39 18 +46 31 00 NGC 3782 GALXY
11 53 42 +47 52 00 NGC 3949 GALXY
11 56 42 +48 20 00 NGC 3985 GALXY
11 46 06 +47 30 00 NGC 3877 GALXY
11 48 36 +48 43 00 NGC 3893 GALXY
11 33 18 +47 02 00 NGC 3726 GALXY
11 37 42 +47 54 00 NGC 3769 GALXY
11 14 12 +48 19 00 NGC 3583 GALXY
11 59 24 +50 58 00 NGC 4026 GALXY
11 50 48 +51 50 00 NGC 3917 GALXY
11 53 48 +52 20 00 NGC 3953 GALXY
11 57 36 +53 22 00 M109
11 33 48 +53 08 00 NGC 3729 GALXY
11 32 36 +53 04 01 NGC 3718 GALXY
11 56 30 +55 08 00 NGC 3982 GALXY
11 55 48 +55 19 00 NGC 3972 GALXY
11 57 54 +55 27 00 NGC 3998 GALXY
11 35 48 +54 31 00 NGC 3738 GALXY
11 36 48 +54 18 00 NGC 3756 GALXY
11 21 00 +53 10 00 NGC 3631 GALXY
11 49 12 +56 05 00 NGC 3898 GALXY
11 47 36 +55 58 00 NGC 3888 GALXY
11 39 24 +56 16 00 NGC 3780 GALXY
11 10 54 +53 23 00 NGC 3549 GALXY
11 14 53 +55 01 59 M97
11 55 00 +58 30 00 NGC 3963 GALXY
11 27 30 +56 53 00 NGC 3683 GALXY
11 11 35 +55 40 59 M108
11 48 48 +59 25 00 NGC 3894 GALXY
11 28 30 +58 33 00 NGC 3690 GALXY
11 19 24 +57 46 00 NGC 3619 GALXY
11 18 36 +58 00 00 NGC 3613 GALXY
11 18 24 +58 47 00 NGC 3610 GALXY
11 22 18 +59 05 00 NGC 3642 GALXY
11 53 12 +60 41 00 NGC 3945 GALXY
11 36 00 +70 32 00 NGC 3735 GALXY
11 06 48 +72 34 00 NGC 3516 GALXY
12 17 24 +45 38 00 NGC 4242 GALXY
12 04 12 +44 33 00 NGC 4051 GALXY
12 23 24 +47 00 00 NGC 4346 GALXY
12 19 00 +47 17 59 M106
12 15 48 +47 06 00 NGC 4217 GALXY
12 10 06 +46 28 00 NGC 4144 GALXY
12 16 06 +47 54 00 NGC 4220 GALXY
12 06 06 +47 29 00 NGC 4096 GALXY
12 03 54 +48 39 00 NGC 4047 GALXY
12 06 12 +49 36 00 NGC 4100 GALXY
12 11 06 +50 30 00 NGC 4157 GALXY
12 05 24 +50 22 00 NGC 4085 GALXY
12 05 36 +50 33 00 NGC 4088 GALXY
12 06 30 +52 43 00 NGC 4102 GALXY
12 55 24 +58 21 00 NGC 4814 GALXY
