00 09 21 -27 59 18 6.1,6.2 1.4 261 kappa-1 Scl
00 54 35 +19 11 18 6.2,6.9 0.51 194 66 Psc
00 54 58 +23 37 42 6.0,6.4 0.89 309 36 And
01 19 48 +00 30 30 6.3,7.0 1.6 16 42 Cet
01 36 03 +07 38 43 7.3,7.3 v 1.6 57 HD 9817
01 52 03 +10 48 36 7.8,7.8 3 204 HD 11386
01 53 32 +19 17 36 4.8,4.8 7.6 0 gamma Ari
01 59 19 +24 49 42 8.0,8.3 v 1.2 277 HD 12101
02 03 55 +42 19 54 5.5,6.3 0.47 105 gamma And BC
02 06 15 +25 06 30 8.0,8.5 v 1.9 161 HD 12824
02 34 07 -05 38 06 7.8,8.0 3.6 346 HD 15994
02 41 07 +18 48 00 7.7,8.0 3.3 119 HD 16694
02 58 53 +21 37 06 7.5,7.5 0.51 265 HD 18484
02 59 13 +21 20 24 5.2,5.5 1.4 209 epsilon Ari
03 34 27 +24 27 54 6.6,6.7 0.7 358 7 Tau
04 33 33 +18 01 00 7.0,7.1 3 277 HD 28867
05 10 18 +37 18 07 6.7,7.0 1.6 221 HD 33203
05 13 32 +01 58 06 6.9,7.1 0.6 238 HD 33883
05 54 22 +18 54 00 8.0,8.0 3 149 HD 39588
06 08 30 +13 58 18 7.4,8.0 2.5 109 HD 41943, in NGC 2169
06 22 50 +17 34 24 7.3,8.3 2.1 18 HD 44496
06 46 14 +59 26 30 5.4,6.0 1.8 74 12 Lyn
06 47 23 +18 11 36 6.8,7.0 0.32 218 HD 49059
06 48 12 +55 42 18 6.3,6.3 4.6 257 HD 48766/7
07 12 49 +27 13 30 7.2,7.2 1.1 314 HD 55130
07 20 31 +00 24 13 7.4,7.8 0.65 173 HD 57275
07 34 32 +12 18 18 8.4,9.1 1.7 99 HD 60355
07 39 47 +05 16 24 9.2,9.3 0.83 186 HD 61502
07 40 07 +05 13 55 6.6,6.9 0.9 169 HD 61563
07 52 42 +03 23 00 7.0,7.5 v 0.94 14 HD 64165
08 12 13 +17 38 54 5.6,6.0 0.84 83 zeta Cnc AB
08 54 15 +30 34 42 6.0,6.5 1.5 312 57 Cnc
08 55 30 -07 58 17 6.7,6.9 3.9 3 17 Hya
09 18 26 +35 21 48 6.4,6.7 1.8 49 HD 80024
09 20 59 +38 11 18 6.7,7.0 1 285 HD 80441
09 28 27 +09 03 24 5.9,6.5 0.52 74 omega Leo
09 52 30 -08 06 18 5.6,6.1 0.58 62 gamma Sex
09 55 03 +68 56 24 10.6,10. 6 8.9 273 BD+69 541
09 55 04 +68 54 06 9.5,9.5 2.1 111 HD 85458
10 16 16 +17 44 24 7.2,7.5 1.4 180 HD 88987
10 49 17 -04 01 23 7.0,7.8 2.3 15 40 Sex
11 03 59 +03 38 18 7.5,7.6 1.2 301 HD 95899
12 10 47 +39 53 30 7.3,8.0 0.34 185 HD 105824
12 30 34 +09 42 54 8.1,8.4 1.3 244 HD 108875
12 56 27 +00 57 18 7.2,7.6 v 0.97 98 HD 112398
13 20 42 +02 56 30 6.7,7.4 1.1 177 HD 115995
13 37 35 -07 52 18 7.5,7.5 2.7 40 81 Vir
13 54 58 -08 03 30 6.6,7.5 3.5 97 HD 121325
13 56 20 +05 17 24 8.4,8.9 1.03 111 HD 121605
14 13 55 +29 06 18 7.5,7.6 0.6 91 HD 124587
14 40 44 +16 25 05 4.9,5.8 5.5 110 pi Boo
14 41 09 +13 43 42 4.5,4.6 0.78 301 zeta Boo
14 49 41 +48 43 12 6.2,6.9 2.8 45 39 Boo
14 53 23 +15 42 18 6.9,7.5 1.2 167 HD 131473
15 18 20 +26 50 24 7.3,7.4 1.6 258 HD 136176
15 23 12 +30 17 18 5.6,5.9 0.73 65 eta CrB
15 42 45 +26 17 42 4.1,5.5 0.7 116 gamma CrB
16 13 18 +13 31 36 7.4,7.5 4.1 353 49 Ser
16 25 35 -23 26 48 5.3,6.0 3.1 339 rho Oph
16 28 53 +18 24 48 7.7,7.9 1.9 126 HD 148653
16 30 55 +01 59 00 4.2,5.2 1.4 26 lambda Oph
17 05 20 +54 28 12 5.7,5.7 2.2 23 mu Dra
17 10 23 -15 43 31 3.0,3.5 0.51 243 eta Oph
17 35 50 +00 59 47 7.5,7.5 3 78 HD 159660
17 51 58 +15 19 35 6.8,7.1 0.81 349 HD 162734
17 56 24 +18 19 35 7.0,7.0 2.6 292 HD 163640
18 03 05 -08 10 48 5.2,5.9 1.7 282 tau Oph
18 10 09 +16 28 35 6.4,7.3 1.2 221 HD 166479/80
18 35 30 +23 36 17 6.4,6.7 0.71 7 HD 171745
18 35 53 +16 58 30 6.9,7.1 1.7 157 HD 171746
18 44 20 +39 40 12 5.0,6.1 2.5 350 epsilon-1 Lyr
18 44 23 +39 36 48 5.2,5.5 2.3 84 epsilon-2 Lyr
18 45 28 +05 30 00 6.4,6.7 2.5 119 HD 173495
18 57 08 +26 05 48 8.0,8.3 0.7 73 HD 176005
19 15 57 +27 27 24 6.9,7.3 0.88 160 HD 180553
19 42 34 +11 49 36 5.7,6.6 0.41 77 khi Aql
19 48 42 +11 49 00 6.3,6.8 1.4 107 pi Aql
20 02 01 +24 56 18 5.7,6.0 0.82 122 16 Vul
20 10 37 +34 51 42 9.2,9.4 4.2 173 HD 191833
20 12 35 +00 52 00 6.9,7.2 2.7 206 HD 191984
20 47 25 +36 29 24 4.9,6.1 0.87 10 lambda Cyg
20 51 26 -05 37 36 6.4,7.4 0.94 20 4 Aqr
20 59 05 +04 17 42 6.0,6.4 0.81 285 epsilon Equ
21 02 13 +07 10 48 7.1,7.1 2.9 215 2 Equ
21 03 03 +01 31 54 6.7,7.3 1.3 119 HD 200375
21 10 59 +09 33 00 7.8,8.0 2.8 80 HD 201686
21 39 32 +00 03 06 7.1,7.7 0.53 273 24 Aqr
22 02 26 -16 57 54 7.1v,7. 2 3.8 246 29 Aqr = DX Aqr
22 07 07 +00 34 12 7.6,8.0 2.5 97 HD 209965
22 26 34 -16 44 30 6.2,6.4 1.7 6 53 Aqr
22 28 50 +00 01 12 4.3,4.5 1.9 188 zeta Aqr
22 43 04 +47 10 06 6.2,7.0 0.5 303 HD 215242
23 12 00 -11 56 00 7.2,7.2 3.5 278 HD 218928
23 33 57 +31 19 30 6.0,6.0 0.55 94 72 Peg
23 59 29 +33 43 24 6.5,6.7 2 328 HD 224635/6
